Plant,Category,Soil,Water,Climate,Sunlight,Growth_Time,Common_Diseases,Common_Problems,Solutions,Fertilizer,Care_Level,Indoor_Outdoor,Benefits
Tomato,Vegetable,Loamy,500ml/day,Warm,Full Sunlight,60-90 days,Blight;Leaf Spot;Root Rot,Yellow Leaves;Pests;Wilting,Use neem oil;Avoid overwatering;Provide sunlight,Compost;NPK Medium,Medium,Outdoor,Rich in vitamins
Aloe Vera,Medicinal,Sandy,200ml/day,Dry,Partial Sunlight,8-10 months,Root Rot,Fungal Infection;Overwatering,Reduce watering;Use dry soil,Vermicompost,Easy,Indoor,Medicinal uses
Mint,Herb,Moist,300ml/day,Moderate,Partial Sunlight,30-60 days,Powdery Mildew,Wilting;Dry Leaves,Keep soil moist;Improve airflow,Organic Compost,Easy,Indoor/Outdoor,Air purification
Rose,Flower,Loamy,400ml/day,Moderate,Full Sunlight,2-3 months,Black Spot;Powdery Mildew,Aphids;Yellow Leaves,Neem oil spray;Prune infected leaves,Bone Meal,Medium,Outdoor,Beautiful flowers
Sunflower,Flower,Loamy,600ml/day,Warm,Full Sunlight,70-100 days,Downy Mildew,Weak Stem;Pests,Support stem;Use organic pesticides,Compost,Easy,Outdoor,Produces seeds
Cactus,Succulent,Sandy,100ml/day,Dry,Full Sunlight,Slow Growth,Root Rot,Overwatering,Water less;Use sandy soil,Low Nitrogen Fertilizer,Easy,Indoor,Low maintenance
Lavender,Flower,Sandy,250ml/day,Cool,Full Sunlight,90-120 days,Fungal Disease,Root Rot,Good drainage;Reduce moisture,Organic Compost,Medium,Outdoor,Fragrance
Money Plant,Indoor Plant,Loamy,250ml/day,Moderate,Low Light,Fast Growth,Leaf Spot,Yellow Leaves,Clean leaves;Avoid excess water,Liquid Fertilizer,Easy,Indoor,Air purification
Tulsi,Medicinal,Loamy,350ml/day,Warm,Full Sunlight,40-60 days,Fungal Wilt,Dry Leaves,Water properly;Provide sunlight,Organic Compost,Easy,Indoor/Outdoor,Medicinal and spiritual
Cucumber,Vegetable,Loamy,700ml/day,Warm,Full Sunlight,50-70 days,Powdery Mildew,Wilting;Pests,Neem oil;Proper watering,Compost,Medium,Outdoor,Hydration benefits
